,MyoV Time (s),MyoV Disp (um),MyoXI Time (s),MyoXI Disp (um)
835,,,1.3444034860074163,0.36
836,,,1.3445028813131303,0.36
837,,,1.3446394233067709,0.36
838,,,1.3446394233067709,0.396
839,,,1.3469754459475594,0.396
840,,,1.347608658024206,0.396
841,,,1.3476157146897831,0.396
842,,,1.3476157146897831,0.432
843,,,1.350886801250554,0.432
844,,,1.3512122672058746,0.432
845,,,1.3516783740556226,0.432
846,,,1.3516783740556226,0.468
847,,,1.3528969667533621,0.468
848,,,1.3530739471865632,0.468
849,,,1.3535896157629699,0.468
850,,,1.3535896157629699,0.504
851,,,1.3624929495045413,0.504
852,,,1.3650200013733373,0.504
853,,,1.3651798797510635,0.0
854,,,1.3661729882421794,0.0
855,,,1.3667927800377795,0.0
856,,,1.3684681540134376,0.0
857,,,1.3691426801737814,0.0
858,,,1.3792222415768434,0.0
859,,,1.3812860851671198,0.0
860,,,1.381905583483067,0.0
861,,,1.381905583483067,0.036
862,,,1.392422352752967,0.036
863,,,1.3934928558164943,0.036
864,,,1.3940791268982649,0.036
865,,,1.3940791268982649,0.072
866,,,1.3982718328417674,0.072
867,,,1.400804255377083,0.0
868,,,1.4051699382251188,0.0
869,,,1.40519429326742,0.0
